,age,gender,race,date,file_path,vgg16_pred,vgg16_uncertainty
0,1,0,2.0,2.0161219155850476e+16,UTKFACE_val/1_0_2_20161219155850477.jpg.chip.jpg,3.0,1.5183093547821045
1,58,0,0.0,2.017011716033177e+16,UTKFACE_val/58_0_0_20170117160331768.jpg.chip.jpg,45.0,3.963982582092285
2,36,0,3.0,2.0170119201744492e+16,UTKFACE_val/36_0_3_20170119201744493.jpg.chip.jpg,70.0,12.947261810302734
3,27,0,4.0,2.017011720221911e+16,UTKFACE_val/27_0_4_20170117202219111.jpg.chip.jpg,30.0,2.742933511734009
4,36,0,1.0,2.017011718321376e+16,UTKFACE_val/36_0_1_20170117183213758.jpg.chip.jpg,26.0,9.092941284179688
5,50,0,1.0,2.0170113142324284e+16,UTKFACE_val/50_0_1_20170113142324284.jpg.chip.jpg,53.0,3.5581634044647217
6,26,1,3.0,2.017011919310576e+16,UTKFACE_val/26_1_3_20170119193105762.jpg.chip.jpg,35.0,5.41221809387207
7,38,1,1.0,2.017011602042005e+16,UTKFACE_val/38_1_1_20170116020420048.jpg.chip.jpg,26.0,21.8306884765625
8,40,0,3.0,2.0170119203747576e+16,UTKFACE_val/40_0_3_20170119203747574.jpg.chip.jpg,51.0,3.953679084777832
9,18,1,0.0,2.0170104022856104e+16,UTKFACE_val/18_1_0_20170104022856102.jpg.chip.jpg,28.0,7.4154887199401855
10,28,0,1.0,2.0170113174923924e+16,UTKFACE_val/28_0_1_20170113174923924.jpg.chip.jpg,35.0,2.1343061923980713
11,51,0,4.0,2.0170104211801364e+16,UTKFACE_val/51_0_4_20170104211801364.jpg.chip.jpg,51.0,0.0
12,53,0,0.0,2.017011716365425e+16,UTKFACE_val/53_0_0_20170117163654249.jpg.chip.jpg,72.0,7.200146198272705
13,25,1,2.0,2.0170116174823428e+16,UTKFACE_val/25_1_2_20170116174823428.jpg.chip.jpg,31.0,3.043543577194214
14,56,0,1.0,2.0170117143218188e+16,UTKFACE_val/56_0_1_20170117143218188.jpg.chip.jpg,76.0,10.250032424926758
