,age,gender,race,date,file_path,Unnamed: 0.1
0,96,1,2.0,20170105174624519,UTKFACE/96_1_2_20170105174624519.jpg.chip.jpg,
1,15,1,0.0,20170109214307598,UTKFACE/15_1_0_20170109214307598.jpg.chip.jpg,
2,19,0,4.0,20170103234723267,UTKFACE/19_0_4_20170103234723267.jpg.chip.jpg,
3,77,1,2.0,20170110175320274,UTKFACE/77_1_2_20170110175320274.jpg.chip.jpg,
4,66,1,0.0,20170110132405672,UTKFACE/66_1_0_20170110132405672.jpg.chip.jpg,
5,66,1,0.0,20170110132405672,UTKFACE/66_1_0_20170110132405672.jpg.chip.jpg,
6,33,0,0.0,20170104165103473,UTKFACE/33_0_0_20170104165103473.jpg.chip.jpg,
7,49,0,0.0,20170104185843894,UTKFACE/49_0_0_20170104185843894.jpg.chip.jpg,
8,46,1,0.0,20170105172747597,UTKFACE/46_1_0_20170105172747597.jpg.chip.jpg,
9,36,0,0.0,20170117183317229,UTKFACE/36_0_0_20170117183317229.jpg.chip.jpg,
10,24,1,3.0,20170104231953658,UTKFACE/24_1_3_20170104231953658.jpg.chip.jpg,
11,42,0,1.0,20170113190548728,UTKFACE/42_0_1_20170113190548728.jpg.chip.jpg,
12,38,0,0.0,20170104202333304,UTKFACE/38_0_0_20170104202333304.jpg.chip.jpg,
13,80,0,0.0,20170111211628015,UTKFACE/80_0_0_20170111211628015.jpg.chip.jpg,
14,61,1,3.0,20170109142555460,UTKFACE/61_1_3_20170109142555460.jpg.chip.jpg,
15,64,1,0.0,20170110141132057,UTKFACE/64_1_0_20170110141132057.jpg.chip.jpg,
16,63,0,0.0,20170104171431363,UTKFACE/63_0_0_20170104171431363.jpg.chip.jpg,
17,21,0,0.0,20170104230014969,UTKFACE/21_0_0_20170104230014969.jpg.chip.jpg,
18,100,1,2.0,20170105174847679,UTKFACE/100_1_2_20170105174847679.jpg.chip.jpg,
19,38,0,0.0,20170109013142560,UTKFACE/38_0_0_20170109013142560.jpg.chip.jpg,
20,84,1,0.0,20170110160644158,UTKFACE/84_1_0_20170110160644158.jpg.chip.jpg,
21,90,0,2.0,20170111210212331,UTKFACE/90_0_2_20170111210212331.jpg.chip.jpg,
22,31,1,0.0,20170117133433345,UTKFACE/31_1_0_20170117133433345.jpg.chip.jpg,
23,32,1,0.0,20170104165907161,UTKFACE/32_1_0_20170104165907161.jpg.chip.jpg,
24,36,1,0.0,20170105164513676,UTKFACE/36_1_0_20170105164513676.jpg.chip.jpg,
25,72,0,1.0,20170116205624331,UTKFACE/72_0_1_20170116205624331.jpg.chip.jpg,
26,52,1,0.0,20170113182810479,UTKFACE/52_1_0_20170113182810479.jpg.chip.jpg,
27,56,1,0.0,20170110125239994,UTKFACE/56_1_0_20170110125239994.jpg.chip.jpg,
28,63,0,0.0,20170104213054221,UTKFACE/63_0_0_20170104213054221.jpg.chip.jpg,
29,69,1,0.0,20170110153039020,UTKFACE/69_1_0_20170110153039020.jpg.chip.jpg,
30,23,1,2.0,20170103180447815,UTKFACE/23_1_2_20170103180447815.jpg.chip.jpg,
31,61,0,0.0,20170105173654895,UTKFACE/61_0_0_20170105173654895.jpg.chip.jpg,
32,33,0,0.0,20170104165103473,UTKFACE/33_0_0_20170104165103473.jpg.chip.jpg,
33,76,1,2.0,20170110180413588,UTKFACE/76_1_2_20170110180413588.jpg.chip.jpg,
34,66,0,0.0,20170116233247357,UTKFACE/66_0_0_20170116233247357.jpg.chip.jpg,
35,60,0,0.0,20170120220406122,UTKFACE/60_0_0_20170120220406122.jpg.chip.jpg,
36,55,0,0.0,20170117160031913,UTKFACE/55_0_0_20170117160031913.jpg.chip.jpg,
37,99,1,2.0,20170110182418864,UTKFACE/99_1_2_20170110182418864.jpg.chip.jpg,
38,55,0,0.0,20170113184836584,UTKFACE/55_0_0_20170113184836584.jpg.chip.jpg,
39,1,1,4.0,20161221201852145,UTKFACE/1_1_4_20161221201852145.jpg.chip.jpg,
40,82,1,0.0,20170110131741775,UTKFACE/82_1_0_20170110131741775.jpg.chip.jpg,
41,57,0,0.0,20170105184101967,UTKFACE/57_0_0_20170105184101967.jpg.chip.jpg,
42,93,1,0.0,20170110141221528,UTKFACE/93_1_0_20170110141221528.jpg.chip.jpg,
43,78,0,0.0,20170111222508641,UTKFACE/78_0_0_20170111222508641.jpg.chip.jpg,
44,25,1,2.0,20170116162822749,UTKFACE/25_1_2_20170116162822749.jpg.chip.jpg,
45,52,1,0.0,20170110153002630,UTKFACE/52_1_0_20170110153002630.jpg.chip.jpg,
46,86,0,2.0,20170112224559130,UTKFACE/86_0_2_20170112224559130.jpg.chip.jpg,
47,83,1,0.0,20170110160644142,UTKFACE/83_1_0_20170110160644142.jpg.chip.jpg,
48,105,0,0.0,20170112213001988,UTKFACE/105_0_0_20170112213001988.jpg.chip.jpg,
49,5,1,2.0,20161219160439406,UTKFACE/5_1_2_20161219160439406.jpg.chip.jpg,
50,89,0,2.0,20170112220351776,UTKFACE/89_0_2_20170112220351776.jpg.chip.jpg,
51,4,0,2.0,20161219140938368,UTKFACE/4_0_2_20161219140938368.jpg.chip.jpg,
52,60,1,0.0,20170110123158902,UTKFACE/60_1_0_20170110123158902.jpg.chip.jpg,
53,68,1,1.0,20170112211704724,UTKFACE/68_1_1_20170112211704724.jpg.chip.jpg,
54,38,1,1.0,20170113005614349,UTKFACE/38_1_1_20170113005614349.jpg.chip.jpg,
55,96,1,0.0,20170110182515404,UTKFACE/96_1_0_20170110182515404.jpg.chip.jpg,
56,53,0,1.0,20170104212358428,UTKFACE/53_0_1_20170104212358428.jpg.chip.jpg,
57,99,1,0.0,20170120221920654,UTKFACE/99_1_0_20170120221920654.jpg.chip.jpg,
58,13,1,4.0,20170104005210478,UTKFACE/13_1_4_20170104005210478.jpg.chip.jpg,
59,51,0,1.0,20170116222058188,UTKFACE/51_0_1_20170116222058188.jpg.chip.jpg,
60,17,0,1.0,20170117183520064,UTKFACE/17_0_1_20170117183520064.jpg.chip.jpg,
61,52,1,0.0,20170103163659575,UTKFACE/52_1_0_20170103163659575.jpg.chip.jpg,
62,18,1,0.0,20170109214251980,UTKFACE/18_1_0_20170109214251980.jpg.chip.jpg,
63,21,1,4.0,20170103225020282,UTKFACE/21_1_4_20170103225020282.jpg.chip.jpg,
64,4,1,4.0,20161223225928843,UTKFACE/4_1_4_20161223225928843.jpg.chip.jpg,
65,85,0,0.0,20170111210736421,UTKFACE/85_0_0_20170111210736421.jpg.chip.jpg,
66,69,1,4.0,20170110141201824,UTKFACE/69_1_4_20170110141201824.jpg.chip.jpg,
67,64,0,1.0,20170120224617161,UTKFACE/64_0_1_20170120224617161.jpg.chip.jpg,
68,62,0,3.0,20170104212109387,UTKFACE/62_0_3_20170104212109387.jpg.chip.jpg,
69,92,1,0.0,20170110183501116,UTKFACE/92_1_0_20170110183501116.jpg.chip.jpg,
70,24,1,0.0,20170105183859832,UTKFACE/24_1_0_20170105183859832.jpg.chip.jpg,
71,67,0,0.0,20170109002906472,UTKFACE/67_0_0_20170109002906472.jpg.chip.jpg,
72,39,1,0.0,20170104210047180,UTKFACE/39_1_0_20170104210047180.jpg.chip.jpg,
73,37,1,1.0,20170116224921695,UTKFACE/37_1_1_20170116224921695.jpg.chip.jpg,
74,30,0,2.0,20170103235423316,UTKFACE/30_0_2_20170103235423316.jpg.chip.jpg,
75,80,1,3.0,20170109151103678,UTKFACE/80_1_3_20170109151103678.jpg.chip.jpg,
76,89,1,0.0,20170120134913783,UTKFACE/89_1_0_20170120134913783.jpg.chip.jpg,
77,47,0,0.0,20170109012806452,UTKFACE/47_0_0_20170109012806452.jpg.chip.jpg,
78,12,0,0.0,20170110224804208,UTKFACE/12_0_0_20170110224804208.jpg.chip.jpg,
79,24,0,0.0,20170102233329675,UTKFACE/24_0_0_20170102233329675.jpg.chip.jpg,
80,26,1,3.0,20170104215700398,UTKFACE/26_1_3_20170104215700398.jpg.chip.jpg,
81,99,1,1.0,20170120134639935,UTKFACE/99_1_1_20170120134639935.jpg.chip.jpg,
82,81,1,0.0,20170110123812204,UTKFACE/81_1_0_20170110123812204.jpg.chip.jpg,
83,33,0,0.0,20170104165103473,UTKFACE/33_0_0_20170104165103473.jpg.chip.jpg,
84,60,1,1.0,20170110151459404,UTKFACE/60_1_1_20170110151459404.jpg.chip.jpg,
85,89,1,3.0,20170110183718790,UTKFACE/89_1_3_20170110183718790.jpg.chip.jpg,
86,46,1,0.0,20170110151342799,UTKFACE/46_1_0_20170110151342799.jpg.chip.jpg,
87,31,0,1.0,20170113175708996,UTKFACE/31_0_1_20170113175708996.jpg.chip.jpg,
88,15,0,0.0,20170104225947233,UTKFACE/15_0_0_20170104225947233.jpg.chip.jpg,
89,45,0,3.0,20170119203815607,UTKFACE/45_0_3_20170119203815607.jpg.chip.jpg,
90,59,0,0.0,20170111203716454,UTKFACE/59_0_0_20170111203716454.jpg.chip.jpg,
91,16,1,1.0,20170109213003514,UTKFACE/16_1_1_20170109213003514.jpg.chip.jpg,
92,32,0,0.0,20170104170147266,UTKFACE/32_0_0_20170104170147266.jpg.chip.jpg,
93,103,0,2.0,20170112213001988,UTKFACE/103_0_2_20170112213001988.jpg.chip.jpg,
94,89,1,0.0,20170120134913783,UTKFACE/89_1_0_20170120134913783.jpg.chip.jpg,
95,88,1,0.0,20170110183756051,UTKFACE/88_1_0_20170110183756051.jpg.chip.jpg,
96,22,0,2.0,20170104021129925,UTKFACE/22_0_2_20170104021129925.jpg.chip.jpg,
97,44,0,1.0,20170117134941304,UTKFACE/44_0_1_20170117134941304.jpg.chip.jpg,
98,9,0,0.0,20170110220159083,UTKFACE/9_0_0_20170110220159083.jpg.chip.jpg,
99,69,0,3.0,20170112224615052,UTKFACE/69_0_3_20170112224615052.jpg.chip.jpg,
100,38,1,1.0,20170116231308847,UTKFACE/38_1_1_20170116231308847.jpg.chip.jpg,
101,47,0,0.0,20170105173114291,UTKFACE/47_0_0_20170105173114291.jpg.chip.jpg,
102,62,1,3.0,20170109150704840,UTKFACE/62_1_3_20170109150704840.jpg.chip.jpg,
103,82,0,0.0,20170111222354407,UTKFACE/82_0_0_20170111222354407.jpg.chip.jpg,
104,2,0,4.0,20170103205319954,UTKFACE/2_0_4_20170103205319954.jpg.chip.jpg,
105,66,1,0.0,20170110141312880,UTKFACE/66_1_0_20170110141312880.jpg.chip.jpg,
106,28,0,0.0,20170120133901719,UTKFACE/28_0_0_20170120133901719.jpg.chip.jpg,
107,24,1,3.0,20170119171016977,UTKFACE/24_1_3_20170119171016977.jpg.chip.jpg,
108,96,1,0.0,20170110173805290,UTKFACE/96_1_0_20170110173805290.jpg.chip.jpg,
109,95,1,0.0,20170110175711811,UTKFACE/95_1_0_20170110175711811.jpg.chip.jpg,
110,80,0,0.0,20170111222138149,UTKFACE/80_0_0_20170111222138149.jpg.chip.jpg,
111,31,1,0.0,20170117133139911,UTKFACE/31_1_0_20170117133139911.jpg.chip.jpg,
112,10,0,0.0,20170110220255346,UTKFACE/10_0_0_20170110220255346.jpg.chip.jpg,
113,70,0,0.0,20170117171117703,UTKFACE/70_0_0_20170117171117703.jpg.chip.jpg,
114,51,1,0.0,20170109010116440,UTKFACE/51_1_0_20170109010116440.jpg.chip.jpg,
115,16,0,0.0,20170110232611516,UTKFACE/16_0_0_20170110232611516.jpg.chip.jpg,
116,23,1,0.0,20170103223641295,UTKFACE/23_1_0_20170103223641295.jpg.chip.jpg,
117,62,0,1.0,20170113142229676,UTKFACE/62_0_1_20170113142229676.jpg.chip.jpg,
118,65,1,0.0,20170110141251497,UTKFACE/65_1_0_20170110141251497.jpg.chip.jpg,
119,90,0,0.0,20170111211204031,UTKFACE/90_0_0_20170111211204031.jpg.chip.jpg,
120,60,1,0.0,20170110140849306,UTKFACE/60_1_0_20170110140849306.jpg.chip.jpg,
121,81,0,0.0,20170111222450939,UTKFACE/81_0_0_20170111222450939.jpg.chip.jpg,
122,60,1,0.0,20170110123131564,UTKFACE/60_1_0_20170110123131564.jpg.chip.jpg,
123,13,1,4.0,20170103212548662,UTKFACE/13_1_4_20170103212548662.jpg.chip.jpg,
124,30,1,2.0,20170116191207397,UTKFACE/30_1_2_20170116191207397.jpg.chip.jpg,
125,48,1,0.0,20170110154607979,UTKFACE/48_1_0_20170110154607979.jpg.chip.jpg,
126,80,1,0.0,20170110131703927,UTKFACE/80_1_0_20170110131703927.jpg.chip.jpg,
127,16,1,0.0,20170109214444528,UTKFACE/16_1_0_20170109214444528.jpg.chip.jpg,
128,17,1,4.0,20170103234135204,UTKFACE/17_1_4_20170103234135204.jpg.chip.jpg,
129,55,0,0.0,20170105161419947,UTKFACE/55_0_0_20170105161419947.jpg.chip.jpg,
130,51,0,3.0,20170119205628400,UTKFACE/51_0_3_20170119205628400.jpg.chip.jpg,
131,96,1,2.0,20170110182526540,UTKFACE/96_1_2_20170110182526540.jpg.chip.jpg,
132,59,0,0.0,20170111203716454,UTKFACE/59_0_0_20170111203716454.jpg.chip.jpg,
133,44,0,3.0,20170119165428991,UTKFACE/44_0_3_20170119165428991.jpg.chip.jpg,
134,99,1,0.0,20170113013141679,UTKFACE/99_1_0_20170113013141679.jpg.chip.jpg,
135,59,1,3.0,20170109134346011,UTKFACE/59_1_3_20170109134346011.jpg.chip.jpg,
136,90,1,0.0,20170120225510266,UTKFACE/90_1_0_20170120225510266.jpg.chip.jpg,
137,87,1,0.0,20170120224714735,UTKFACE/87_1_0_20170120224714735.jpg.chip.jpg,
138,34,1,0.0,20170117134931832,UTKFACE/34_1_0_20170117134931832.jpg.chip.jpg,
139,41,1,4.0,20170104204946628,UTKFACE/41_1_4_20170104204946628.jpg.chip.jpg,
140,12,1,2.0,20170109203838187,UTKFACE/12_1_2_20170109203838187.jpg.chip.jpg,
141,96,1,1.0,20170117183936388,UTKFACE/96_1_1_20170117183936388.jpg.chip.jpg,
142,49,0,0.0,20170104204831379,UTKFACE/49_0_0_20170104204831379.jpg.chip.jpg,
143,20,0,2.0,20170103234745028,UTKFACE/20_0_2_20170103234745028.jpg.chip.jpg,
144,3,0,3.0,20161220145007862,UTKFACE/3_0_3_20161220145007862.jpg.chip.jpg,
145,24,0,2.0,20170116170633399,UTKFACE/24_0_2_20170116170633399.jpg.chip.jpg,
146,21,0,4.0,20161223214823880,UTKFACE/21_0_4_20161223214823880.jpg.chip.jpg,
147,54,0,0.0,20170105163714131,UTKFACE/54_0_0_20170105163714131.jpg.chip.jpg,
148,88,1,0.0,20170120230401803,UTKFACE/88_1_0_20170120230401803.jpg.chip.jpg,
149,30,0,3.0,20170104220333766,UTKFACE/30_0_3_20170104220333766.jpg.chip.jpg,
150,8,1,2.0,20170109203442372,UTKFACE/8_1_2_20170109203442372.jpg.chip.jpg,
151,35,0,0.0,20170117192319971,UTKFACE/35_0_0_20170117192319971.jpg.chip.jpg,
152,82,0,0.0,20170111210901892,UTKFACE/82_0_0_20170111210901892.jpg.chip.jpg,
153,93,1,0.0,20170120225304313,UTKFACE/93_1_0_20170120225304313.jpg.chip.jpg,
154,26,0,2.0,20170116181220996,UTKFACE/26_0_2_20170116181220996.jpg.chip.jpg,
155,91,1,2.0,20170105174644734,UTKFACE/91_1_2_20170105174644734.jpg.chip.jpg,
156,47,0,1.0,20170117172552003,UTKFACE/47_0_1_20170117172552003.jpg.chip.jpg,
157,76,1,0.0,20170110131747399,UTKFACE/76_1_0_20170110131747399.jpg.chip.jpg,
158,17,1,4.0,20170103201233799,UTKFACE/17_1_4_20170103201233799.jpg.chip.jpg,
159,20,1,4.0,20170103223033527,UTKFACE/20_1_4_20170103223033527.jpg.chip.jpg,
160,30,1,2.0,20170116173725888,UTKFACE/30_1_2_20170116173725888.jpg.chip.jpg,
161,45,1,4.0,20170117145210923,UTKFACE/45_1_4_20170117145210923.jpg.chip.jpg,
162,34,1,4.0,20170103182156641,UTKFACE/34_1_4_20170103182156641.jpg.chip.jpg,
163,49,0,0.0,20170117190513467,UTKFACE/49_0_0_20170117190513467.jpg.chip.jpg,
164,27,1,0.0,20170117120618507,UTKFACE/27_1_0_20170117120618507.jpg.chip.jpg,
165,40,1,0.0,20170108234357077,UTKFACE/40_1_0_20170108234357077.jpg.chip.jpg,
166,89,1,0.0,20170110184022572,UTKFACE/89_1_0_20170110184022572.jpg.chip.jpg,
167,16,0,0.0,20170104012325066,UTKFACE/16_0_0_20170104012325066.jpg.chip.jpg,
168,62,0,0.0,20170104185409782,UTKFACE/62_0_0_20170104185409782.jpg.chip.jpg,
169,63,0,0.0,20170104213054221,UTKFACE/63_0_0_20170104213054221.jpg.chip.jpg,
170,60,1,1.0,20170110122351600,UTKFACE/60_1_1_20170110122351600.jpg.chip.jpg,
171,39,1,0.0,20170111182452865,UTKFACE/39_1_0_20170111182452865.jpg.chip.jpg,
172,25,1,3.0,20170104234944475,UTKFACE/25_1_3_20170104234944475.jpg.chip.jpg,
173,40,1,0.0,20170104172853980,UTKFACE/40_1_0_20170104172853980.jpg.chip.jpg,
174,26,1,4.0,20170103225117416,UTKFACE/26_1_4_20170103225117416.jpg.chip.jpg,
175,66,0,3.0,20170117195129091,UTKFACE/66_0_3_20170117195129091.jpg.chip.jpg,
176,69,1,0.0,20170110154316664,UTKFACE/69_1_0_20170110154316664.jpg.chip.jpg,
177,34,1,0.0,20170117171706314,UTKFACE/34_1_0_20170117171706314.jpg.chip.jpg,
178,65,1,1.0,20170113002051572,UTKFACE/65_1_1_20170113002051572.jpg.chip.jpg,
179,22,0,0.0,20170105161701210,UTKFACE/22_0_0_20170105161701210.jpg.chip.jpg,
180,50,0,0.0,20170117120742302,UTKFACE/50_0_0_20170117120742302.jpg.chip.jpg,
181,40,0,3.0,20170119210237376,UTKFACE/40_0_3_20170119210237376.jpg.chip.jpg,
182,77,1,0.0,20170110122639530,UTKFACE/77_1_0_20170110122639530.jpg.chip.jpg,
